,Drug,Model,Metric,Score
427,Heroin,SGD,F1_Score,0.3781094527363184
428,Heroin,SGD,AUC,0.7925748715222398
429,Ketamine,Logistic_Regression,Precision,0.40782122905027934
430,Ketamine,Logistic_Regression,Recall,0.7849462365591398
431,Ketamine,Logistic_Regression,Accuracy,0.7330508474576272
432,Ketamine,Logistic_Regression,F1_Score,0.5367647058823529
433,Ketamine,Logistic_Regression,AUC,0.8139416120520896
434,Ketamine,NB_Gaussian,Precision,0.22193877551020408
435,Ketamine,NB_Gaussian,Recall,0.9354838709677419
436,Ketamine,NB_Gaussian,Accuracy,0.3411016949152542
437,Ketamine,NB_Gaussian,F1_Score,0.3587628865979381
438,Ketamine,NB_Gaussian,AUC,0.7496808238999064
439,Ketamine,KNN,Precision,0.3203125
440,Ketamine,KNN,Recall,0.44086021505376344
441,Ketamine,KNN,Accuracy,0.7055084745762712
442,Ketamine,KNN,F1_Score,0.3710407239819004
443,Ketamine,KNN,AUC,0.6056543819332142
444,Ketamine,Decision_Tree,Precision,0.3411764705882353
445,Ketamine,Decision_Tree,Recall,0.3118279569892473
446,Ketamine,Decision_Tree,Accuracy,0.7457627118644068
447,Ketamine,Decision_Tree,F1_Score,0.32584269662921345
448,Ketamine,Decision_Tree,AUC,0.5820353505262859
449,Ketamine,Random_Forest,Precision,0.5294117647058824
450,Ketamine,Random_Forest,Recall,0.1935483870967742
451,Ketamine,Random_Forest,Accuracy,0.8072033898305084
452,Ketamine,Random_Forest,F1_Score,0.28346456692913385
453,Ketamine,Random_Forest,AUC,0.7753567679518825
454,Ketamine,SVC,Precision,0.37267080745341613
455,Ketamine,SVC,Recall,0.6451612903225806
456,Ketamine,SVC,Accuracy,0.7161016949152542
457,Ketamine,SVC,F1_Score,0.47244094488188976
458,Ketamine,SVC,AUC,0.7637245723040258
459,Ketamine,Linear_SVC,Precision,0.3837837837837838
460,Ketamine,Linear_SVC,Recall,0.7634408602150538
461,Ketamine,Linear_SVC,Accuracy,0.711864406779661
462,Ketamine,Linear_SVC,F1_Score,0.5107913669064748
